Age,SupportCallsLastYear,AverageBill,ChurnIndicator
1,1,71,0.013
46,0,88,0.006
47,1,80,0.016
43,1,64,0.021
37,2,105,0.032
10,0,44,0.016
56,0,36,0.001
16,2,34,0.027
35,1,55,0.018
57,0,53,0.001
3,0,43,0.007
37,0,26,0.045
10,2,39,0.035
40,1,104,0.019
39,1,57,0.004
65,2,64,0.026
35,0,30,0.013
19,10,41,0.226
27,0,11,0.049
12,0,108,0.008
16,1,79,0.016
16,0,55,0.009
11,2,94,0.005
46,4,85,0.004
16,2,96,0.016
60,4,11,0.085
5,1,11,0.179
67,1,74,0.007
71,0,72,0.01
74,4,93,0.015
71,0,99,0.003
1,3,40,0.016
23,0,96,0.004
75,0,79,0.008
72,0,103,0.007
51,0,44,0.015
63,1,56,0.005
47,2,104,0.007
41,4,69,0.074
59,1,68,0.016
64,0,64,0.009
44,8,94,0.054
76,0,81,0.002
60,8,56,0.034
48,5,37,0.148
60,0,41,0.001
25,1,97,0.005
79,8,36,0.092
43,0,70,0.009
28,1,77,0.018
43,0,101,0.005
58,6,62,0.035
67,2,78,0.022
77,1,48,0.007
31,1,104,0.007
23,2,38,0.065
78,0,110,0.01
57,0,28,0.03
39,7,68,0.02
42,0,65,0.005
51,0,102,0.002
18,0,72,0.005
42,4,106,0.013
43,1,93,0.015
19,0,38,0.01
13,0,65,0.004
60,1,86,0.014
74,1,98,0.02
29,9,41,0.067
63,0,22,0.013
13,0,20,0.034
49,10,44,0.056
23,1,60,0.004
13,0,48,0.005
3,2,76,0.008
80,1,72,0.004
63,0,106,0.002
64,4,75,0.05
37,0,107,0.004
76,0,40,0.018
40,1,108,0.01
46,1,50,0.017
40,2,89,0.018
56,3,84,0.013
54,2,51,0.02
52,2,94,0.005
50,2,88,0.006
18,1,83,0.007
31,1,99,0.009
26,7,19,0.224
17,0,83,0.016
8,0,15,0.018
27,0,85,0.005
36,1,45,0.03
57,1,108,0.014
6,0,74,0.005
55,1,102,0.004
1,4,50,0.018
14,9,31,0.064
36,2,104,0.01
44,2,82,0.032
71,2,68,0.015
17,7,50,0.031
53,2,36,0.109
30,4,69,0.018
36,0,15,0.045
41,1,17,0.022
65,0,43,0.001
5,2,27,0.103
39,2,25,0.081
56,0,36,0.003
79,3,39,0.068
39,0,97,0
10,1,24,0.004
40,2,103,0.027
59,1,89,0.03
56,1,85,0.012
63,0,90,0.001
40,0,94,0.001
69,0,105,0.008
51,9,30,0.147
15,10,29,0.057
20,2,75,0.014
75,0,39,0.002
30,9,70,0.031
4,1,72,0.004
31,0,56,0.001
10,0,52,0.002
33,0,33,0.01
74,0,84,0.003
77,0,106,0.006
53,3,53,0.003
16,0,67,0.008
31,0,24,0.019
51,1,33,0.02
35,1,72,0.005
35,0,71,0.007
58,0,32,0.026
12,6,43,0.084
79,0,90,0.003
35,0,36,0.022
59,3,63,0.036
50,0,31,0
17,1,89,0.02
56,3,48,0.019
60,2,23,0.053
55,10,44,0.122
70,9,35,0.209
4,0,13,0.029
19,0,49,0.002
3,8,54,0.012
35,7,55,0.02
49,0,65,0.002
45,1,82,0.004
34,0,55,0.012
76,6,24,0.005
65,0,81,0.003
28,0,72,0.008
16,3,84,0.013
76,6,73,0.007
25,0,61,0.003
30,8,20,0.011
32,0,83,0.012
76,3,95,0.021
65,3,90,0.025
79,3,75,0.014
45,0,51,0.003
67,0,33,0.014
78,1,40,0.019
48,2,106,0.01
40,4,11,0.27
59,4,92,0.052
18,0,58,0.003
67,0,88,0.004
69,0,90,0.002
29,5,42,0.114
9,1,94,0.007
21,0,13,0.01
13,0,56,0.004
39,1,35,0.027
17,0,82,0.01
5,0,79,0.002
18,0,100,0.004
10,4,16,0.196
28,0,93,0.001
8,3,66,0.038
47,1,20,0.062
72,1,27,0.03
79,2,101,0.01
65,2,74,0.018
79,0,86,0.001
58,1,103,0.007
7,0,45,0.021
3,8,58,0.174
79,0,56,0.004
48,0,20,0.038
2,2,48,0.036
28,1,61,0.002
72,0,71,0.007
45,0,46,0.009
1,0,26,0.004
42,1,44,0.01
